"","dansk_navn","traeart","wkb_geometry","planteaar"
"11202","Guldhængepil","Salix alba 'Tristis'","POINT (12.552609823535448 55.722556507938684)",2016
"11380","Guldhængepil","Salix alba 'Tristis'","POINT (12.547660920960915 55.721675156561034)",2024
"11381","Stilk-eg","Quercus robur","POINT (12.547949121478366 55.721562704596685)",2024
"15063","Koreakornel","Cornus kousa","POINT (12.548016599888129 55.72157809593656)",2018
"17111","Glansbladet tjørn","Crataegus lavallei","POINT (12.545814080529405 55.7219625860585)",2021
"17112","Glansbladet tjørn","Crataegus lavallei","POINT (12.545738588330355 55.72200497774806)",2021
"17113","Kirsebærkornel","Cornus mas","POINT (12.545666695310192 55.7220691981144)",2021
"17120","Kirsebærkornel","Cornus mas","POINT (12.545714719052082 55.72213452237155)",2021
"17122","Skovæble","Malus sylvestris","POINT (12.545784150301111 55.722203797272755)",2021
"17123","Skovæble","Malus sylvestris","POINT (12.545785852906587 55.722169021235004)",2021
"17143","Skovæble","Malus sylvestris","POINT (12.546241766372601 55.72257583486352)",2021
"17155","Skovæble","Malus sylvestris","POINT (12.546265925192873 55.72254070629969)",2021
"17156","Skovæble","Malus sylvestris","POINT (12.546310196067852 55.722564952641996)",2021
"24748","Ahorn","Acer pseudoplatanus","POINT (12.553346932685729 55.7226025808851)",1900
"25522","Skovfyr","Pinus sylvestris","POINT (12.546440906060353 55.722075128027484)",2016
"25523","Skovfyr","Pinus sylvestris","POINT (12.546364387876332 55.72204206916924)",2016
"25535","Skovfyr","Pinus sylvestris","POINT (12.546424086592046 55.72201129726768)",2016
"32018","Almindelig ask","Fraxinus excelsior","POINT (12.546622017262708 55.72254604243141)",1930
"32239","Pil","Salix sp.","POINT (12.548023324135594 55.72171444889657)",1900
"36195","Almindelig ask","Fraxinus excelsior","POINT (12.54654281806925 55.72261577657449)",1930
"42774","Birk","Betula sp.","POINT (12.545772870972003 55.722025919747466)",1960
"43135","Skovfyr","Pinus sylvestris","POINT (12.548800191066624 55.72151437021352)",2016
"43136","Skovfyr","Pinus sylvestris","POINT (12.548622508645657 55.721520584127475)",2016
"43137","Skovfyr","Pinus sylvestris","POINT (12.5485424588459 55.72156434385183)",2016
"43138","Skovfyr","Pinus sylvestris","POINT (12.546216590618446 55.722326182645574)",2016
"43139","Skovfyr","Pinus sylvestris","POINT (12.546311477143536 55.722289455093076)",2016
"43140","Skovfyr","Pinus sylvestris","POINT (12.546279233055145 55.72236134179378)",2016
"43141","Skovfyr","Pinus sylvestris","POINT (12.5461108234683 55.722009892592745)",2016
"43142","Skovfyr","Pinus sylvestris","POINT (12.546188300795267 55.721990889962356)",2016
"43143","Skovfyr","Pinus sylvestris","POINT (12.546113299240462 55.721955340134976)",2016
"43144","Guldhængepil","Salix alba 'Tristis'","POINT (12.546779648437921 55.72250154322181)",2016
"43145","Stilk-eg","Quercus robur","POINT (12.546489692596586 55.72168462897225)",2016
"43146","Stilk-eg","Quercus robur","POINT (12.546570263175449 55.72172700232264)",2016
"43266","Guldhængepil","Salix alba 'Tristis'","POINT (12.554025784116218 55.7228530858827)",2016
"43267","Guldhængepil","Salix alba 'Tristis'","POINT (12.553844333027392 55.723208856954216)",2016
"43268","Guldhængepil","Salix alba 'Tristis'","POINT (12.552675846559291 55.72255912904789)",2016
"45521","Skovfyr","Pinus sylvestris","POINT (12.548516629380208 55.721544206300415)",2016
"46424","Bøg","Fagus sp.","POINT (12.55159889267153 55.72356596088416)",NA
"46437","Lind","Tilia sp.","POINT (12.55292839943333 55.72344264536857)",NA
"47637","Koreakornel","Cornus kousa","POINT (12.547927797685507 55.72158679888891)",2018
"49714","Lind","Tilia sp.","POINT (12.55107703101188 55.723703725649)",NA
"49715","Pil","Salix sp.","POINT (12.551994204376715 55.72342715084107)",NA
"49716","Bøg","Fagus sp.","POINT (12.552441613425678 55.72343359060842)",NA
